Description,In-network coverage,Out-of-network coverage
Policy year deductibles,,
Student,$500 per policy year,N/A
Spouse,$500 per policy year,N/A
Each Child,$500 per policy year,N/A
Family,None,N/A
Policy year deductible waiver,,
"The policy year deductible is waived for all of the following eligible health services:
     In-Network Care for Preventive care and wellness, Pediatric Vision and Dental Care, Outpatient Prescription Drugs, and services performed at the Student health Center and for services referred by the student health
center",,
Maximum out-of-pocket limits,,
,In-network coverage,Out-of-network coverage
Student,"$8,500 per policy year",N/A
Spouse,"$8,500 per policy year",N/A
Each Child,"$8,500 per policy year",N/A
Family,"$17,000 per policy year",N/A
Referral Requirements,,
"A Student Health Services (SHS) referral is required for non-emergency care within a 25-mile radius from campus, unless SHS is closed.  The Preferred care deductible is waived for services performed at the Student health Center and for Preferred Care referred by the student health center.
Exceptions
     Treatment is for an Emergency Medical Condition. A referral is required for follow-up care.
     Obstetric and Gynecological Treatment
     Pediatric Care
     Preventive/Routine Services (services considered preventive according to Health Care Reform and/or services rendered not to diagnose or treat an Accident or Sickness)
     Prescribed Medicine Expenses
     Mental and Nervous Disorders Expenses
     Substance Abuse Disorders Expenses
     The Student Health Center is closed
     For medical care rendered at another facility when classes are not in session, such as for official school breaks and holidays
     Medical care received when the student is more than 25 miles from campus
     Medical care received when a student is no longer able to use the SHC due to a change in student status
Your covered dependents do not use the school health services for care so they don’t need to get referrals.",,
Eligible health services,In-network coverage,Out-of-network coverage
Routine physical exams,,
Performed at a physician’s office,"100% (of the negotiated charge) per visit
No copayment or policy year deductible applies",Not Covered
Maximum age and visit limits per policy year through age 21,"Subject to any age and visit limits provided for in the comprehensive guidelines supported by the American Academy of Pediatrics/Bright Futures//Health
Resources and Services Administration guidelines for children and adolescents.",
"Covered persons age 22 and over:
Maximum visits per policy year",1 visit,
Preventive care immunizations,,
Performed in a facility or at a physician's office,"100% (of the negotiated charge) per visit
No copayment or policy year deductible applies",Not Covered
Maximums,Subject to any age limits provided for in the comprehensive guidelines supported by Advisory Committee on Immunization Practices of the Centers for Disease Control and Prevention,
Routine gynecological exams (including Pap smears and cytology tests),,
